Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",1206,2,22uF 25V,C12891
"C10, C11, C12, C13, C14, C15",0603,6,22pF,C1653
"C3, C4",0603,2,10uF 25V,C96446
"C5, C8, C9",0603,3,1uF,
C6,0603,1,10uF,C96446
C7,0603,1,100nF,C14663
"D1, D2",D_SOD-123,2,B5819W SL,C8598
"D3, D4, D5",0603,3,LED,C2286
J1,USB_C_Receptacle_XKB_U262-16XN-4BVC11,1,USB_C_Receptacle_USB2.0_16P,C319148
"Q1, Q2, Q3, Q4, Q5, Q6",SOT-23,6,Q_NPN_BEC,C20526
"R1, R2",0402,2,5K1,
R3,0402,1,10K,C25744
"R4, R5, R6, R7, R8, R9",0402,6,33R,C25105
"SW1, SW2",SW_SPST_B3S-1000,2,B3S-1000,
U1,ESP32-C3-WROOM-02,1,ESP32-C3-WROOM-02,C2934560
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
