Designator,Mid X,Mid Y,Rotation,Layer
C1,66.25,-129.525,90.0,top
C10,72.25,-146.025,270.0,top
C11,82.5,-146.0,270.0,top
C12,92.5,-145.975,270.0,top
C13,91.0,-121.025,270.0,top
C14,81.0,-121.025,270.0,top
C15,70.75,-121.025,270.0,top
C2,61.775,-137.5,0.0,top
C3,62.525,-134.75,180.0,top
C4,62.475,-124.75,180.0,top
C5,61.75,-104.75,180.0,top
C6,61.75,-103.0,180.0,top
C7,61.725,-101.25,180.0,top
C8,62.5,-110.025,90.0,top
C9,62.5,-118.475,90.0,top
D1,59.0,-143.25,270.0,top
D2,63.25,-143.25,270.0,top
D3,65.5,-123.9625,270.0,top
D4,64.75,-110.4625,270.0,top
D5,86.5,-112.5375,270.0,top
J1,96.0,-111.5,90.0,top
J2,53.0,-140.27,0.0,top
J3,69.0,-138.29,0.0,top
J4,79.05,-138.29,0.0,top
J5,89.1,-138.29,0.0,top
J6,94.25,-126.71,180.0,top
J7,84.15,-126.67,180.0,top
J8,74.05,-126.67,180.0,top
Q1,69.1125,-145.29,180.0,top
Q2,79.2375,-145.24,180.0,top
Q3,89.2375,-145.24,180.0,top
Q4,94.25,-120.25,0.0,top
Q5,84.1875,-120.25,0.0,top
Q6,74.0,-120.3,0.0,top
R1,88.5,-115.0,270.0,top
R2,88.5,-108.01,90.0,top
R3,64.5,-103.76,270.0,top
R4,65.5,-120.99,90.0,top
R5,88.24,-113.0,0.0,top
R6,88.24,-111.5,180.0,top
R7,65.5,-118.74,90.0,top
R8,64.26,-108.0,180.0,top
R9,64.26,-106.75,0.0,top
SW1,56.5,-110.0,270.0,top
SW2,56.5,-118.5,270.0,top
U1,75.54,-107.2,0.0,top
U2,57.15,-129.75,0.0,top
